Tanggal;Harga
08-Jan-18;42200
09-Jan-18;40600
10-Jan-18;40200
11-Jan-18;43000
12-Jan-18;42200
13-Jan-18;41800
14-Jan-18;41800
15-Jan-18;42000
16-Jan-18;42200
17-Jan-18;38600
18-Jan-18;37400
19-Jan-18;35000
20-Jan-18;35000
21-Jan-18;35000
22-Jan-18;36000
23-Jan-18;34800
24-Jan-18;32200
25-Jan-18;30800
26-Jan-18;30000
27-Jan-18;29800
28-Jan-18;30400
29-Jan-18;28200
30-Jan-18;28600
31-Jan-18;28800
01-Feb-18;28800
02-Feb-18;28800
03-Feb-18;29400
04-Feb-18;28800
05-Feb-18;31800
06-Feb-18;32000
07-Feb-18;34800
08-Feb-18;34300
09-Feb-18;33200
10-Feb-18;33600
11-Feb-18;33600
12-Feb-18;37800
13-Feb-18;39600
14-Feb-18;43400
15-Feb-18;42200
16-Feb-18;43800
17-Feb-18;43800
18-Feb-18;43800
19-Feb-18;43800
20-Feb-18;47600
21-Feb-18;49600
22-Feb-18;49200
23-Feb-18;47200
24-Feb-18;48400
25-Feb-18;48400
26-Feb-18;48800
27-Feb-18;48200
28-Feb-18;49200
01-Mar-18;48800
02-Mar-18;48800
03-Mar-18;49200
04-Mar-18;49200
05-Mar-18;61000
06-Mar-18;61000
07-Mar-18;58800
08-Mar-18;59600
09-Mar-18;60200
10-Mar-18;59600
11-Mar-18;59600
12-Mar-18;63000
13-Mar-18;63400
14-Mar-18;59000
15-Mar-18;56000
16-Mar-18;53600
17-Mar-18;52600
18-Mar-18;52600
19-Mar-18;48000
20-Mar-18;48000
21-Mar-18;46400
22-Mar-18;44800
23-Mar-18;44600
24-Mar-18;45400
25-Mar-18;45400
26-Mar-18;39600
27-Mar-18;39600
28-Mar-18;40400
29-Mar-18;40400
30-Mar-18;39200
31-Mar-18;39200
01-Apr-18;38800
02-Apr-18;37600
03-Apr-18;39200
04-Apr-18;35800
05-Apr-18;36000
06-Apr-18;38000
07-Apr-18;37600
08-Apr-18;39200
09-Apr-18;37200
10-Apr-18;36200
11-Apr-18;35600
12-Apr-18;34600
13-Apr-18;34200
14-Apr-18;35000
15-Apr-18;34600
16-Apr-18;31800
17-Apr-18;31800
18-Apr-18;32000
19-Apr-18;30200
20-Apr-18;28400
21-Apr-18;28800
22-Apr-18;28800
23-Apr-18;28200
24-Apr-18;31000
25-Apr-18;31400
26-Apr-18;30000
27-Apr-18;29600
28-Apr-18;28800
29-Apr-18;29600
30-Apr-18;27800
